chapter_key	function_key	primary_packet	result_refs	evidence_class	writer_escalation
V3-CH-11	V3-EW-04	../evidence/source-packets/arc_08.json	tasks[task_id=244].subtasks[sub_id=419];tasks[task_id=245].subtasks[sub_id=420]	DIRECT_GAME_ENCOUNTER + AVATAR_INFERENCE + INTELLIGENCE_REPORT	biography/alliance/combat/history/Tĩnh-action
V3-CH-12	V3-EW-04	../evidence/source-packets/arc_08.json	tasks[task_id=246].subtasks[sub_id=421]	NPC_REPORT + AVATAR_INFERENCE + GAME_OBJECTIVE	identity/invasion-plan/map-truth/rescue/actor
V3-CH-13	V3-EW-04	../evidence/source-packets/arc_08.json	tasks[task_id=247].subtasks[sub_id=422];tasks[task_id=248].subtasks[sub_id=423]	INTELLIGENCE_REPORT + AVATAR_INFERENCE + GAMEPLAY	objective-state/history/espionage/Tĩnh-action
V3-CH-14	V3-EW-04	../evidence/source-packets/arc_08.json	tasks[task_id=249].subtasks[sub_id=424];tasks[task_id=250].subtasks[sub_id=425]	NPC_REPORT + INTERROGATION + GAME_OBJECTIVE	chronology/military-tech/power/Tĩnh-action/item-custody
V3-CH-15	V3-EW-05	../evidence/source-packets/arc_08.json	tasks[task_id=251].subtasks[sub_id=426];tasks[task_id=252].subtasks[sub_id=427]	INTELLIGENCE_REPORT + AVATAR_INFERENCE + GAME_ALT_HISTORY	succession-truth/motive/network/Tĩnh-route
V3-CH-16	V3-EW-05	../evidence/source-packets/arc_08.json	tasks[task_id=253].subtasks[sub_id=428]	LOCAL_TESTIMONY + GAME_ALT_HISTORY	consensus/death-cause/date/Hạ-presence
V3-CH-17	V3-EW-05	../evidence/source-packets/arc_08.json	tasks[task_id=254].subtasks[sub_id=429];tasks[task_id=255].subtasks[sub_id=430]	NPC_INTELLIGENCE + MATERIAL_CLUE + GAMEPLAY	letter-truth/organizer/scale/allegiance/Tiêu-action
V3-CH-18	V3-EW-05	../evidence/source-packets/arc_08.json	tasks[task_id=256].subtasks[sub_id=431]	RUMOR + OVERHEARD_REPORT + MEDICAL_EFFECT_CLAIM	court-relationship/medicine-efficacy/Hạ-research/diagnosis
V3-CH-19	V3-EW-06	../evidence/source-packets/arc_08.json	tasks[task_id=257].subtasks[sub_id=432];tasks[task_id=258].subtasks[sub_id=433]	DIRECT_GAME_AFTERMATH + GAME_ALT_HISTORY + EMOTIONAL_OBSERVATION	exact-duration/Hạ-presence/escort/care/diagnosis
V3-CH-20	V3-EW-07	../evidence/source-packets/arc_08.json	tasks[task_id=259].subtasks[sub_id=434]	DIRECT_GAME_REQUEST + AVATAR_EVALUATION + GAMEPLAY	Tiêu-action/private-life/systemic-corruption/outcome
V3-CH-21	V3-EW-07	../evidence/source-packets/arc_08.json	tasks[task_id=260].subtasks[sub_id=435]	DIRECT_GAME_EVENT + CORRUPTION_REPORT + ORGANIZATION_DECISION	Tiêu-action/evidence-chain/amount/accomplice/outcome
V3-CH-22	V3-EW-07	../evidence/source-packets/arc_08.json	tasks[task_id=261].subtasks[sub_id=436]	DIRECT_GAME_CAUSAL_REPORT + GAMEPLAY	Tĩnh-authority/arrest/sentence/reconciliation/outcome
V3-CH-23	V3-EW-07	../evidence/source-packets/arc_08.json	tasks[task_id=262].subtasks[sub_id=437]	NPC_REPORT + CHARACTER_EVALUATION + PROPOSED_APERTURE	historical-profile/mediation-success/Tĩnh-action/outcome
V3-CH-24	V3-EW-08	../evidence/source-packets/arc_08.json	tasks[task_id=263].subtasks[sub_id=438]	NPC_PLAN + GAMEPLAY_TRANSLATION + AVATAR_EVALUATION	identity/history/drug-effect/Tiêu-action/moral-outcome
V3-CH-25	V3-EW-08	../evidence/source-packets/arc_08.json	tasks[task_id=264].subtasks[sub_id=439];tasks[task_id=265].subtasks[sub_id=440];tasks[task_id=266].subtasks[sub_id=441]	GAME_TRAINING + NPC_REPORT + GAMEPLAY	combat-power/death/recruitment-truth/Tĩnh-action/outcome
V3-CH-26	V3-EW-09	../evidence/source-packets/arc_08.json	tasks[task_id=267].subtasks[sub_id=442]	NPC_DEATH_REPORT + EMOTIONAL_REACTION + ITEM_EFFECT_CLAIM	historical-death/date/cause/item-efficacy/funeral/Hạ-use
V3-CH-27	V3-EW-10	../evidence/source-packets/arc_09.json	tasks[task_id=271].subtasks[sub_id=446];tasks[task_id=273].subtasks[sub_id=448];tasks[task_id=274].subtasks[sub_id=449]	REPEATABLE_SOCIAL_REPORT + ALLEGATION + GAMEPLAY	linear-event/Kim-collusion/Hạ-action/medical-result/mine-closure
V3-CH-28	V3-EW-10	../evidence/source-packets/arc_09.json	tasks[task_id=275].subtasks[sub_id=450];tasks[task_id=276].subtasks[sub_id=451]	REPEATABLE_LOGISTICS_CONTEXT + LABOR_TESTIMONY + GAMEPLAY	same-chronology/Tiêu-action/family-outcome/supply-result
