Task_ID_Dec,Task_ID_Hex,Tên_Nhiệm_Vụ,Thể_Loại,Thứ_Tự_Logic,Số_Subtask,Người_Giao_Đầu_Tiên,Nguồn_File,Tóm_Tắt_Cốt_Truyện_Gốc
22,0000000000000016,Mang Ngọc Mắc Tội,Nhiệm vụ chính tuyến,linear,6,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000016.xml,
23,0000000000000017,Bộ Bộ Vi Doanh,Nhiệm vụ chính tuyến,linear,5,Thu Đại Sư,Stories\task_publish\task\0000000000000017.xml,
24,0000000000000018,Xua Tan Mây Mù,Nhiệm vụ chính tuyến,linear,11,Vô Sân Sư Thái,Stories\task_publish\task\0000000000000018.xml,
25,0000000000000019,Mưu Kế Thâm Sâu,Nhiệm vụ chính tuyến,linear,1,Lãnh Thu Vân,Stories\task_publish\task\0000000000000019.xml,
26,000000000000001a,Thu Phục,Nhiệm vụ chính tuyến,linear,1,Cầu Chỉ Thủy,Stories\task_publish\task\000000000000001A.xml,
27,000000000000001b,Nghĩa Khí La Phong,Nhiệm vụ chính tuyến,linear,1,La Phong,Stories\task_publish\task\000000000000001B.xml,
28,000000000000001c,Bố Giả Thương,Nhiệm vụ chính tuyến,linear,1,Thạch Hiên Viên,Stories\task_publish\task\000000000000001C.xml,
29,000000000000001d,Hầu Nhi Tửu,Nhiệm vụ chính tuyến,linear,1,La Phong,Stories\task_publish\task\000000000000001D.xml,
30,000000000000001e,Ảnh Giả,Nhiệm vụ chính tuyến,linear,1,Củng Thiếu Trăn,Stories\task_publish\task\000000000000001E.xml,
31,000000000000001f,Đả Cẩu Trận Pháp,Nhiệm vụ chính tuyến,linear,1,La Phong,Stories\task_publish\task\000000000000001F.xml,
32,0000000000000020,Á Lão Đầu,Nhiệm vụ chính tuyến,linear,1,Quý Thúc Ban,Stories\task_publish\task\0000000000000020.xml,
33,0000000000000021,Nạn Cá Sấu,Nhiệm vụ chính tuyến,linear,1,Đệ tử phòng tình báo,Stories\task_publish\task\0000000000000021.xml,
34,0000000000000022,Thương Nhân Thần Bí,Nhiệm vụ chính tuyến,linear,1,Lâu Nhất Quan,Stories\task_publish\task\0000000000000022.xml,
35,0000000000000023,Bí Ẩn Phản Tộc,Nhiệm vụ chính tuyến,linear,1,Thống lĩnh Tiên Phong Bạch Phổ,Stories\task_publish\task\0000000000000023.xml,
36,0000000000000024,Chứng Cứ Phản Loạn,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Quý Thúc Ban,Stories\task_publish\task\0000000000000024.xml,
37,0000000000000025,Quý Hầu Mắc Nạn,Nhiệm vụ chính tuyến,linear,1,Hùng Đỉnh,Stories\task_publish\task\0000000000000025.xml,
38,0000000000000026,Cược Đao Khách,Nhiệm vụ chính tuyến,linear,1,Lục Tiểu Lam,Stories\task_publish\task\0000000000000026.xml,
39,0000000000000027,Cược Kiếm Khách,Nhiệm vụ chính tuyến,linear,1,Lục Tiểu Lam,Stories\task_publish\task\0000000000000027.xml,
40,0000000000000028,Doanh Trại Cũ,Nhiệm vụ chính tuyến,linear,1,Hàn Phá Sơn,Stories\task_publish\task\0000000000000028.xml,
41,0000000000000029,Công Tử Si Tình,Nhiệm vụ chính tuyến,linear,1,Mộ Dung Tương Quân,Stories\task_publish\task\0000000000000029.xml,
42,000000000000002a,Cô Phần,Nhiệm vụ chính tuyến,linear,1,,Stories\task_publish\task\000000000000002A.xml,
43,000000000000002b,Họa Rắn Cạp Nong,Nhiệm vụ chính tuyến,linear,1,Lư Tiếu Bần,Stories\task_publish\task\000000000000002B.xml,
44,000000000000002c,Đồ Thôn,Nhiệm vụ chính tuyến,linear,1,Hàn Phá Sơn,Stories\task_publish\task\000000000000002C.xml,
45,000000000000002d,Sát Thủ Thổ Sơn,Nhiệm vụ chính tuyến,linear,1,Hàn Phá Sơn,Stories\task_publish\task\000000000000002D.xml,
46,000000000000002e,Nữ Vu Ca,Nhiệm vụ chính tuyến,linear,1,Điệp Phiêu Phiêu,Stories\task_publish\task\000000000000002E.xml,
47,000000000000002f,Đại Tuyết Chi Chủng,Nhiệm vụ chính tuyến,linear,1,Tạ Vũ Điền,Stories\task_publish\task\000000000000002F.xml,
48,0000000000000030,Lai Lịch Tống Thu Thạch,Nhiệm vụ chính tuyến,linear,1,Tạ Vũ Điền,Stories\task_publish\task\0000000000000030.xml,
49,0000000000000031,Huynh Muội Du Thị,Nhiệm vụ chính tuyến,linear,1,Du Thanh Tố,Stories\task_publish\task\0000000000000031.xml,
50,0000000000000032,Chủ Nhân Thần Bí,Nhiệm vụ chính tuyến,linear,1,Tuần Dạ Nhân,Stories\task_publish\task\0000000000000032.xml,
51,0000000000000033,Băng Huyệt Bi Hào,Nhiệm vụ chính tuyến,linear,1,Tô Tô,Stories\task_publish\task\0000000000000033.xml,
52,0000000000000034,Côn Lôn Cố Sự,Nhiệm vụ chính tuyến,linear,1,Du Lạc Thiên,Stories\task_publish\task\0000000000000034.xml,
53,0000000000000035,Trở Lại Nhân Gian,Nhiệm vụ chính tuyến,linear,1,Dã Nhân Anh Tự Tú,Stories\task_publish\task\0000000000000035.xml,
54,0000000000000036,Phạm Giới Chi Tăng,Nhiệm vụ chính tuyến,linear,1,Huyền Bi,Stories\task_publish\task\0000000000000036.xml,
55,0000000000000037,Tứ Vị Danh Dược,Nhiệm vụ chính tuyến,linear,1,Huyền Khổ Đại Sư,Stories\task_publish\task\0000000000000037.xml,
56,0000000000000038,Danh Sư Không Tướng,Nhiệm vụ chính tuyến,linear,1,Huyền Từ Đại Sư,Stories\task_publish\task\0000000000000038.xml,
57,0000000000000039,Thần Bí Thiết Tặc,Nhiệm vụ chính tuyến,linear,1,Huyền Khổ Đại Sư,Stories\task_publish\task\0000000000000039.xml,
58,000000000000003a,Phục Hồi Cơ Quan,Nhiệm vụ chính tuyến,linear,1,Trừng Quang,Stories\task_publish\task\000000000000003A.xml,
59,000000000000003b,Đệ Tử Bị Thương,Nhiệm vụ chính tuyến,linear,1,Trừng Huệ,Stories\task_publish\task\000000000000003B.xml,
60,000000000000003c,Khảo Nghiệm Cuối Cùng,Nhiệm vụ chính tuyến,linear,1,Huyền Bi,Stories\task_publish\task\000000000000003C.xml,
61,000000000000003d,Diệu Kế Bình Loạn,Nhiệm vụ chính tuyến,linear,1,Lộ Hiểu Nhiên,Stories\task_publish\task\000000000000003D.xml,
62,000000000000003e,Thái Điệp Tiên Tử,Nhiệm vụ chính tuyến,linear,1,Nhất Diệp Chân Nhân,Stories\task_publish\task\000000000000003E.xml,
63,000000000000003f,Kiếm Khách Si Tình,Nhiệm vụ chính tuyến,linear,1,Chung Chí Minh,Stories\task_publish\task\000000000000003F.xml,
64,0000000000000040,Thần Bí Kim Nhân,Nhiệm vụ chính tuyến,linear,1,Linh Hạc Chân Nhân,Stories\task_publish\task\0000000000000040.xml,
65,0000000000000041,Hổ Động Mê Tung,Nhiệm vụ chính tuyến,linear,1,Đệ Tử Võ Đang Hiểu Âm,Stories\task_publish\task\0000000000000041.xml,"Tam Chân Nhân của núi Võ Đang gồm Linh Hạc Chân Nhân lo việc đối ngoại, Nhất Diệp chân nhân lo việc giảng dạy và Động Hư Chân Nhân là trưởng lão chấp pháp. Động Hư Chân Nhân mang tiếng là giữ chức chấ..."
66,0000000000000042,Đêm Mưa Rả Rích,Nhiệm vụ chính tuyến,linear,2,Long Tiêu Tiêu,Stories\task_publish\task\0000000000000042.xml,
67,0000000000000043,Thù Cũ,Nhiệm vụ chính tuyến,linear,1,Ngụy Trường Phong,Stories\task_publish\task\0000000000000043.xml,
68,0000000000000044,Hoàng Lăng Chi Biến,Nhiệm vụ chính tuyến,linear,1,Bồ Sát Phong Nô,Stories\task_publish\task\0000000000000044.xml,
69,0000000000000045,Kho Báu Đạo Mộ Tặc,Nhiệm vụ chính tuyến,linear,1,Ngột Tán,Stories\task_publish\task\0000000000000045.xml,
70,0000000000000046,Quân Cờ Thần Bí,Nhiệm vụ chính tuyến,linear,1,Hoàn Nhan Tương,Stories\task_publish\task\0000000000000046.xml,
71,0000000000000047,Thử Tài,Nhiệm vụ chính tuyến,linear,1,Ngột Tát,Stories\task_publish\task\0000000000000047.xml,
72,0000000000000048,Loạn Trong Giặc Ngoài,Nhiệm vụ chính tuyến,linear,1,Hoàn Nhan Tương,Stories\task_publish\task\0000000000000048.xml,
73,0000000000000049,Giải Cứu Thích Khách,Nhiệm vụ chính tuyến,linear,1,Vinh Đồ,Stories\task_publish\task\0000000000000049.xml,
74,000000000000004a,Diệt Khẩu,Nhiệm vụ chính tuyến,linear,1,Bồ Sát Phong Nô,Stories\task_publish\task\000000000000004A.xml,
75,000000000000004b,Nga My Cố Sự,Nhiệm vụ chính tuyến,linear,1,Lý Nguyên Khải,Stories\task_publish\task\000000000000004B.xml,
76,000000000000004c,Cầu Thân,Nhiệm vụ chính tuyến,linear,1,Phó Thông,Stories\task_publish\task\000000000000004C.xml,
77,000000000000004d,Vô Niệm Kiếp,Nhiệm vụ chính tuyến,linear,1,Vô Niệm Sư Thái,Stories\task_publish\task\000000000000004D.xml,
78,000000000000004e,Thách Đấu Cừu Tuyết,Nhiệm vụ chính tuyến,linear,1,Thống Lĩnh Thị Vệ,Stories\task_publish\task\000000000000004E.xml,
79,000000000000004f,Mối Hận Đường Gia,Nhiệm vụ chính tuyến,linear,1,Lăng Phong Nhạn,Stories\task_publish\task\000000000000004F.xml,
80,0000000000000050,Cung Nữ Cung Thất,Nhiệm vụ chính tuyến,linear,1,Cừu Tuyết,Stories\task_publish\task\0000000000000050.xml,
81,0000000000000051,Bạch Cốt Chi Thành,Nhiệm vụ chính tuyến,linear,1,Vô Tưởng Sư Thái,Stories\task_publish\task\0000000000000051.xml,
82,0000000000000052,Hợp Tung Liên Hoành,Nhiệm vụ chính tuyến,linear,1,Đường Khuyết,Stories\task_publish\task\0000000000000052.xml,
83,0000000000000053,Độc Kế,Nhiệm vụ chính tuyến,linear,1,Đường Khuyết,Stories\task_publish\task\0000000000000053.xml,
84,0000000000000054,Tâm Pháp Mật Tịch,Nhiệm vụ chính tuyến,linear,1,Đường Ngộ,Stories\task_publish\task\0000000000000054.xml,
85,0000000000000055,Khuynh Tâm Chi Giao,Nhiệm vụ chính tuyến,linear,1,Đường Như,Stories\task_publish\task\0000000000000055.xml,
86,0000000000000056,Đường Môn Tứ Lão,Nhiệm vụ chính tuyến,linear,1,Đường Hạc,Stories\task_publish\task\0000000000000056.xml,
87,0000000000000057,Hoài Nghi,Nhiệm vụ chính tuyến,linear,1,Đường Hiểu,Stories\task_publish\task\0000000000000057.xml,
88,0000000000000058,Ân Tình Đường Hiểu,Nhiệm vụ chính tuyến,linear,1,Đường Quân Dung,Stories\task_publish\task\0000000000000058.xml,
89,0000000000000059,Hoa Cốc Lai Khách,Nhiệm vụ chính tuyến,linear,1,Doãn Tiêu Vũ,Stories\task_publish\task\0000000000000059.xml,
90,000000000000005a,Hộ Hoa Sứ Giả,Nhiệm vụ chính tuyến,linear,1,Doãn Tiêu Vũ,Stories\task_publish\task\000000000000005A.xml,
91,000000000000005b,Toàn Thiên Yến Tử,Nhiệm vụ chính tuyến,linear,1,Nhạn Xảo Vân,Stories\task_publish\task\000000000000005B.xml,
92,000000000000005c,Nỗi Nhục Sư Môn,Nhiệm vụ chính tuyến,linear,1,Đan Bích Tú,Stories\task_publish\task\000000000000005C.xml,
93,000000000000005d,Khách Phương Bắc,Nhiệm vụ chính tuyến,linear,1,Nhạn Xảo Vân,Stories\task_publish\task\000000000000005D.xml,
94,000000000000005e,Thân Thế Vinh Giảo Giảo,Nhiệm vụ chính tuyến,linear,1,Vinh Giảo Giảo,Stories\task_publish\task\000000000000005E.xml,
95,000000000000005f,Ân Tình Trác Vân,Nhiệm vụ chính tuyến,linear,1,Gia Cát Trác Vân,Stories\task_publish\task\000000000000005F.xml,
96,0000000000000060,Cứu Tế Thôn Dân,Nhiệm vụ chính tuyến,linear,1,Nguyệt Ảnh Sa Khâu,Stories\task_publish\task\0000000000000060.xml,
97,0000000000000061,Huyền Thưởng Thông Cáo,Nhiệm vụ chính tuyến,linear,1,Vương Phó Tướng,Stories\task_publish\task\0000000000000061.xml,
98,0000000000000062,Bình Định Biên Giới,Nhiệm vụ chính tuyến,linear,1,Lam Đặc Sứ,Stories\task_publish\task\0000000000000062.xml,
99,0000000000000063,Lời Nói Dối Thiện Ý,Nhiệm vụ chính tuyến,linear,1,Vân Tiểu Đao [Khoái Đao Môn],Stories\task_publish\task\0000000000000063.xml,
100,0000000000000064,Chuộc Mạng Tráng Đinh,Nhiệm vụ chính tuyến,linear,1,Cốc Ninh Sơn,Stories\task_publish\task\0000000000000064.xml,
102,0000000000000066,Luyện Nhật Đại Pháp,Nhiệm vụ chính tuyến,linear,1,Đạt Nhật A Xích,Stories\task_publish\task\0000000000000066.xml,
103,0000000000000067,Thanh Lý Môn Hộ,Nhiệm vụ chính tuyến,linear,1,Tất Thư Dương [Tuần Du Sứ],Stories\task_publish\task\0000000000000067.xml,
104,0000000000000068,Hồ Điệp Mùa Thu,Nhiệm vụ chính tuyến,linear,1,Nam Cung Uyển Nhi,Stories\task_publish\task\0000000000000068.xml,
105,0000000000000069,Chấn Nhiếp Chi Lực,Nhiệm vụ chính tuyến,linear,1,Tô Mạc Dương,Stories\task_publish\task\0000000000000069.xml,
106,000000000000006a,Bách Quan Phổ,Nhiệm vụ chính tuyến,linear,1,Lưu Toàn Bảo,Stories\task_publish\task\000000000000006A.xml,
107,000000000000006b,Biên Quản Thái Học Sinh,Nhiệm vụ chính tuyến,linear,1,Tiền Khán Thủ,Stories\task_publish\task\000000000000006B.xml,
108,000000000000006c,Lược Gia Trừng Giới,Nhiệm vụ chính tuyến,linear,1,Triệu Thịnh,Stories\task_publish\task\000000000000006C.xml,
109,000000000000006d,Tình Hình Nguy Cấp,Nhiệm vụ chính tuyến,linear,1,Long Nhất Hiện,Stories\task_publish\task\000000000000006D.xml,
110,000000000000006e,Đổ Ước,Nhiệm vụ chính tuyến,linear,1,Tôn Đình Lạc,Stories\task_publish\task\000000000000006E.xml,
111,000000000000006f,Tấn Lang Tửu,Nhiệm vụ chính tuyến,linear,1,Lão Túy Đầu,Stories\task_publish\task\000000000000006F.xml,
112,0000000000000070,Tiểu Mặc Nhĩ,Nhiệm vụ chính tuyến,linear,1,Đại Mặc Nhĩ,Stories\task_publish\task\0000000000000070.xml,
113,0000000000000071,Mua Đi Bán Lại,Nhiệm vụ chính tuyến,linear,1,Vân Đại Đao [Khoái Đao Môn],Stories\task_publish\task\0000000000000071.xml,
114,0000000000000072,Trừng Phạt,Nhiệm vụ chính tuyến,linear,1,A Nặc,Stories\task_publish\task\0000000000000072.xml,
115,0000000000000073,Kim Khoáng,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000073.xml,
116,0000000000000074,A Lợi Tư,Nhiệm vụ chính tuyến,linear,1,Ngân Vũ Nạp Tư,Stories\task_publish\task\0000000000000074.xml,
117,0000000000000075,Gia Thù,Nhiệm vụ chính tuyến,linear,1,Tử Sở,Stories\task_publish\task\0000000000000075.xml,
118,0000000000000076,Tử Ngọc Băng Xà,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000076.xml,
119,0000000000000077,Hôn Quan,Nhiệm vụ chính tuyến,linear,1,Cáp Ca,Stories\task_publish\task\0000000000000077.xml,
120,0000000000000078,Mua Bán Lớn,Nhiệm vụ chính tuyến,linear,1,Ân Bốc Nguyên [Bang Chủ Tào Bang],Stories\task_publish\task\0000000000000078.xml,
121,0000000000000079,Bình Loạn,Nhiệm vụ chính tuyến,linear,1,Tần Khuê [Vạn Tự Doanh],Stories\task_publish\task\0000000000000079.xml,
122,000000000000007a,Lang Hài,Nhiệm vụ chính tuyến,linear,1,Mại Thán Ông,Stories\task_publish\task\000000000000007A.xml,
123,000000000000007b,Trọng Thưởng,Nhiệm vụ chính tuyến,linear,1,Ma Bổ Đầu,Stories\task_publish\task\000000000000007B.xml,
124,000000000000007c,Tầm Hồi Quái Vật,Nhiệm vụ chính tuyến,linear,1,A Nặc,Stories\task_publish\task\000000000000007C.xml,
125,000000000000007d,Đào Ly,Nhiệm vụ chính tuyến,linear,1,Lý Cổ Nạp Tư,Stories\task_publish\task\000000000000007D.xml,
126,000000000000007e,Cựu Hận,Nhiệm vụ chính tuyến,linear,1,Tạ Hiền [<color=green>Chủ Tiền Trang<color>],Stories\task_publish\task\000000000000007E.xml,
127,000000000000007f,Khơi Thông,Nhiệm vụ chính tuyến,linear,1,Phí Sĩ Tương,Stories\task_publish\task\000000000000007F.xml,
128,0000000000000080,Võng Khai Nhất Diện,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000080.xml,
129,0000000000000081,Cảnh Chung,Nhiệm vụ chính tuyến,linear,1,Tuần Kiểm Sứ,Stories\task_publish\task\0000000000000081.xml,
130,0000000000000082,Y Giả Tâm,Nhiệm vụ chính tuyến,linear,1,Đỗ Tân [Quân Y],Stories\task_publish\task\0000000000000082.xml,
131,0000000000000083,Thiết Mẫu,Nhiệm vụ chính tuyến,linear,1,Lạt Lị Đầu,Stories\task_publish\task\0000000000000083.xml,
132,0000000000000084,Đại Án Tử Mẫu Hoàn,Nhiệm vụ chính tuyến,linear,1,Cốc Nam [Thống Lĩnh Thị Vệ Ngự Tiền],Stories\task_publish\task\0000000000000084.xml,
133,0000000000000085,Đại Án Thâm Khuê,Nhiệm vụ chính tuyến,linear,1,Long Nhất Hiện,Stories\task_publish\task\0000000000000085.xml,
134,0000000000000086,Tế Sống,Nhiệm vụ chính tuyến,linear,1,Tam Bạng Tử,Stories\task_publish\task\0000000000000086.xml,
135,0000000000000087,Tín Đồ,Nhiệm vụ chính tuyến,linear,1,Ngô Tẩu,Stories\task_publish\task\0000000000000087.xml,
136,0000000000000088,Luân Hồi,Nhiệm vụ chính tuyến,linear,1,Bia đá,Stories\task_publish\task\0000000000000088.xml,
137,0000000000000089,Thích Khách,Nhiệm vụ chính tuyến,linear,1,Tạ Mãn Đình,Stories\task_publish\task\0000000000000089.xml,
138,000000000000008a,Diệt Sạch Báo Thù,Nhiệm vụ chính tuyến,linear,1,Mộc La Sam [Người May Mắn],Stories\task_publish\task\000000000000008A.xml,
139,000000000000008b,Hoàng Lăng,Nhiệm vụ chính tuyến,linear,1,Vũ Thanh Phong,Stories\task_publish\task\000000000000008B.xml,
140,000000000000008c,Cựu Ái Sở Tại,Nhiệm vụ chính tuyến,linear,1,Cổ Yên Nhiên,Stories\task_publish\task\000000000000008C.xml,
141,000000000000008d,Nghĩa Chi Sở Tại,Nhiệm vụ chính tuyến,linear,1,Nhiếp Văn Thành [Hộ Quan Thống Soái],Stories\task_publish\task\000000000000008D.xml,
142,000000000000008e,Tình Ý Miên Man,Nhiệm vụ chính tuyến,linear,1,Lê Mộ,Stories\task_publish\task\000000000000008E.xml,
143,000000000000008f,Hoàng Lăng Bí Sự,Nhiệm vụ chính tuyến,linear,1,Hắc Phong [Huyền Thưởng Mộ Chiêu],Stories\task_publish\task\000000000000008F.xml,
144,0000000000000090,Địch Nhân Chi Hữu,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000090.xml,
145,0000000000000091,Dĩ Tiểu Kiến Đại,Nhiệm vụ chính tuyến,linear,1,Đồ Nhã,Stories\task_publish\task\0000000000000091.xml,
146,0000000000000092,Khiêu Sơn Chấn Hổ,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000092.xml,
147,0000000000000093,Đại Vị Khu Trục,Nhiệm vụ chính tuyến,linear,1,Thu Đại Sư,Stories\task_publish\task\0000000000000093.xml,
148,0000000000000094,Sơn Môn Nạn,Nhiệm vụ chính tuyến,linear,1,Huệ Minh Thiền Sư,Stories\task_publish\task\0000000000000094.xml,
149,0000000000000095,Tín Đồ Nổi Giận,Nhiệm vụ chính tuyến,linear,1,Sài Đình,Stories\task_publish\task\0000000000000095.xml,
150,0000000000000096,Thân Bạn Nguy Cơ,Nhiệm vụ chính tuyến,linear,1,Bạch Thu Lâm [<color=green>Thủ Lĩnh Nghĩa Quân<color>],Stories\task_publish\task\0000000000000096.xml,
151,0000000000000097,Long Nhan Thịnh Nộ,Nhiệm vụ chính tuyến,linear,1,Đoàn Trí Hưng [<color=green>Gia chủ Đại Lý Đoàn Thị<color>],Stories\task_publish\task\0000000000000097.xml,
152,0000000000000098,Lưu Khấu Chi Phong,Nhiệm vụ chính tuyến,linear,1,Điệp Phiêu Phiêu,Stories\task_publish\task\0000000000000098.xml,
153,0000000000000099,Ám Trung Chế Địch,Nhiệm vụ chính tuyến,linear,1,Kiều Tang Tử,Stories\task_publish\task\0000000000000099.xml,
154,000000000000009a,Sát Xà Thủ Đảm,Nhiệm vụ chính tuyến,linear,1,Trương Trảm Kinh [<color=green>Chủ Tiệm Thuốc<color>],Stories\task_publish\task\000000000000009A.xml,
155,000000000000009b,Đồ Nhã Chi Thác,Nhiệm vụ chính tuyến,linear,1,Đồ Nhã,Stories\task_publish\task\000000000000009B.xml,
