chapter_key	function_key	primary_packet	result_refs	evidence_class	writer_escalation
V5-CH-25	V5-EW-12	../evidence/source-packets/arc_12.json	tasks[task_id=448].subtasks[sub_id=641]	DREAM_ENTRY + GAME_INJURY + ROUTE_MEMORY_CONTAMINATION	Ân-memory-transfer/attacker/death/history/dream-mechanism
V5-CH-26	V5-EW-12	../evidence/source-packets/arc_12.json	tasks[task_id=449].subtasks[sub_id=642]	DREAM_EVENT_CHAIN + CHARACTER_MEMORY + GAMEPLAY	history/biography/romance/Tiêu-alteration
V5-CH-27	V5-EW-12	../evidence/source-packets/arc_12.json	tasks[task_id=450].subtasks[sub_id=643]	RELIABILITY_LOCK + VISION_LINEAGE_CLAIM + DU_LONG_MECHANISM_CLAIM	parentage/corroboration/date/mechanism/custody
V5-CH-28	V5-EW-12	../evidence/source-packets/arc_12.json	tasks[task_id=451].subtasks[sub_id=644]	VISION_REPORT + MEDICAL_MIRACLE_CLAIM + GAME_EVENT	corroboration/medicine/duration/rescuer/assassination-route
V5-CH-29	V5-EW-12	../evidence/source-packets/arc_12.json	tasks[task_id=452].subtasks[sub_id=645]	GAME_ALT_HISTORY + VISION_RELAY + POLITICAL_OUTCOME_CLAIM	corroboration/history/survival/casualty/Du-Long-resolution
V5-CH-30	V5-EW-13	../evidence/source-packets/arc_12.json	tasks[task_id=453].subtasks[sub_id=652];tasks[task_id=454].subtasks[sub_id=646]	INFILTRATION_REPORT + OCCULT_CLAIM + ETHNIC_FACTION_REPORT	mechanism/ethnic-guilt/alliance/combat/Hạ-action
V5-CH-31	V5-EW-13	../evidence/source-packets/arc_12.json	tasks[task_id=455].subtasks[sub_id=647]	INTELLIGENCE_REPORT + DOCUMENT_OBJECTIVE + SOURCE_TERMINOLOGY_CONFLICT	Kim-Liêu/document-truth/Tĩnh-infiltration/command/outcome
V5-CH-32	V5-EW-14	../evidence/source-packets/arc_12.json	tasks[task_id=456].subtasks[sub_id=648];tasks[task_id=457].subtasks[sub_id=649]	LATER_GAME_STATE + CUSTODIAN_REPORT + DOCUMENT_OBJECTIVE	mechanism/inventory/ownership/book-content/corroboration
V5-CH-33	V5-EW-15	../evidence/source-packets/arc_12.json	tasks[task_id=458].subtasks[sub_id=650];tasks[task_id=459].subtasks[sub_id=651]	CAPTIVITY_REPORT + SECT_RELIEF + SABOTAGE_GAMEPLAY	Hạ-rescue/Hạ-sabotage/list-truth/casualty/outcome
V5-CH-34	V5-EW-15	../evidence/source-packets/arc_12.json	tasks[task_id=460].subtasks[sub_id=653];tasks[task_id=461].subtasks[sub_id=654]	WATER_POISONING_PLAN + CHILD_CAPTIVITY_REPORT + OCCULT_CLAIM	Hạ-action/medicine/victims/guilt/efficacy/combat
V5-CH-35	V5-EW-14	../evidence/source-packets/arc_12.json	tasks[task_id=462].subtasks[sub_id=655]	LATER_GAME_STATE + TEMPORARY_PHASE_CLAIM + MEDICAL_OCCULT_CLAIM	Du-Long-resolution/custody/inventory/medicine/Tiêu-action/sequel
