task_id	task_name	event_family_id	coverage_tier	primary_channel	trio_owner	volume_candidate	disposition_rule	reason
15	Tân Triều	EF-T0015	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
16	Tìm Ra Lời Đáp	EF-T0016	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
17	Báo Ân	EF-T0017	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
18	Bí Mật Che Giấu	EF-T0018	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
19	Âm Sai Dương Thác	EF-T0019	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
20	Hé Lộ Manh Mối	EF-T0020	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
21	Súc Thế Đãi Phát	EF-T0021	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
22	Mang Ngọc Mắc Tội	EF-T0022	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
23	Bộ Bộ Vi Doanh	EF-T0023	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
24	Xua Tan Mây Mù	EF-T0024	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
25	Mưu Kế Thâm Sâu	EF-T0025	A	WITNESS_RELAY	UNASSIGNED	OPEN	WORLD_EVENT	Preserve substantial source event independently of trio; scene owner and eligible satellite POV not selected.
26	Thu Phục	EF-T0026	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
27	Nghĩa Khí La Phong	EF-T0027	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
28	Bố Giả Thương	EF-T0028	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
29	Hầu Nhi Tửu	EF-T0029	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
30	Ảnh Giả	EF-T0030	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
31	Đả Cẩu Trận Pháp	EF-T0031	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
32	Á Lão Đầu	EF-T0032	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
33	Nạn Cá Sấu	EF-T0033	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
34	Thương Nhân Thần Bí	EF-T0034	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
35	Bí Ẩn Phản Tộc	EF-T0035	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
36	Chứng Cứ Phản Loạn	EF-T0036	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
37	Quý Hầu Mắc Nạn	EF-T0037	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
38	Cược Đao Khách	EF-T0038	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
39	Cược Kiếm Khách	EF-T0039	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
40	Doanh Trại Cũ	EF-T0040	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
41	Công Tử Si Tình	EF-T0041	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
42	Cô Phần	EF-T0042	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
43	Họa Rắn Cạp Nong	EF-T0043	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
44	Đồ Thôn	EF-T0044	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
45	Sát Thủ Thổ Sơn	EF-T0045	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
46	Nữ Vu Ca	EF-T0046	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
47	Đại Tuyết Chi Chủng	EF-T0047	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
48	Lai Lịch Tống Thu Thạch	EF-T0048	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
49	Huynh Muội Du Thị	EF-T0049	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
50	Chủ Nhân Thần Bí	EF-T0050	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
51	Băng Huyệt Bi Hào	EF-T0051	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
52	Côn Lôn Cố Sự	EF-T0052	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
53	Trở Lại Nhân Gian	EF-T0053	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
54	Phạm Giới Chi Tăng	EF-T0054	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
55	Tứ Vị Danh Dược	EF-T0055	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
56	Danh Sư Không Tướng	EF-T0056	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
57	Thần Bí Thiết Tặc	EF-T0057	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
58	Phục Hồi Cơ Quan	EF-T0058	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
59	Đệ Tử Bị Thương	EF-T0059	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
60	Khảo Nghiệm Cuối Cùng	EF-T0060	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
61	Diệu Kế Bình Loạn	EF-T0061	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
62	Thái Điệp Tiên Tử	EF-T0062	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
63	Kiếm Khách Si Tình	EF-T0063	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
64	Thần Bí Kim Nhân	EF-T0064	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
65	Hổ Động Mê Tung	EF-T0065	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
66	Đêm Mưa Rả Rích	EF-T0066	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
67	Thù Cũ	EF-T0067	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
68	Hoàng Lăng Chi Biến	EF-T0068	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
69	Kho Báu Đạo Mộ Tặc	EF-T0069	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
70	Quân Cờ Thần Bí	EF-T0070	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
71	Thử Tài	EF-T0071	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
72	Loạn Trong Giặc Ngoài	EF-T0072	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
73	Giải Cứu Thích Khách	EF-T0073	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
74	Diệt Khẩu	EF-T0074	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
75	Nga My Cố Sự	EF-T0075	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
76	Cầu Thân	EF-T0076	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
77	Vô Niệm Kiếp	EF-T0077	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
78	Thách Đấu Cừu Tuyết	EF-T0078	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
79	Mối Hận Đường Gia	EF-T0079	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
80	Cung Nữ Cung Thất	EF-T0080	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
81	Bạch Cốt Chi Thành	EF-T0081	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
82	Hợp Tung Liên Hoành	EF-T0082	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
83	Độc Kế	EF-T0083	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
84	Tâm Pháp Mật Tịch	EF-T0084	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
85	Khuynh Tâm Chi Giao	EF-T0085	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
86	Đường Môn Tứ Lão	EF-T0086	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
87	Hoài Nghi	EF-T0087	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
88	Ân Tình Đường Hiểu	EF-T0088	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
89	Hoa Cốc Lai Khách	EF-T0089	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
90	Hộ Hoa Sứ Giả	EF-T0090	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
91	Toàn Thiên Yến Tử	EF-T0091	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
92	Nỗi Nhục Sư Môn	EF-T0092	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
93	Khách Phương Bắc	EF-T0093	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
94	Thân Thế Vinh Giảo Giảo	EF-T0094	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
95	Ân Tình Trác Vân	EF-T0095	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
96	Cứu Tế Thôn Dân	EF-T0096	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
97	Huyền Thưởng Thông Cáo	EF-T0097	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
98	Bình Định Biên Giới	EF-T0098	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
99	Lời Nói Dối Thiện Ý	EF-T0099	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
100	Chuộc Mạng Tráng Đinh	EF-T0100	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
102	Luyện Nhật Đại Pháp	EF-T0102	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
103	Thanh Lý Môn Hộ	EF-T0103	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
104	Hồ Điệp Mùa Thu	EF-T0104	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
105	Chấn Nhiếp Chi Lực	EF-T0105	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
106	Bách Quan Phổ	EF-T0106	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
107	Biên Quản Thái Học Sinh	EF-T0107	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
108	Lược Gia Trừng Giới	EF-T0108	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
109	Tình Hình Nguy Cấp	EF-T0109	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
110	Đổ Ước	EF-T0110	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
111	Tấn Lang Tửu	EF-T0111	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
112	Tiểu Mặc Nhĩ	EF-T0112	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
113	Mua Đi Bán Lại	EF-T0113	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
114	Trừng Phạt	EF-T0114	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
115	Kim Khoáng	EF-T0115	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
116	A Lợi Tư	EF-T0116	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
117	Gia Thù	EF-T0117	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
118	Tử Ngọc Băng Xà	EF-T0118	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
119	Hôn Quan	EF-T0119	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
120	Mua Bán Lớn	EF-T0120	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
121	Bình Loạn	EF-T0121	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
122	Lang Hài	EF-T0122	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
123	Trọng Thưởng	EF-T0123	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
124	Tầm Hồi Quái Vật	EF-T0124	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
125	Đào Ly	EF-T0125	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
126	Cựu Hận	EF-T0126	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
127	Khơi Thông	EF-T0127	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
128	Võng Khai Nhất Diện	EF-T0128	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
129	Cảnh Chung	EF-T0129	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
130	Y Giả Tâm	EF-T0130	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
131	Thiết Mẫu	EF-T0131	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
132	Đại Án Tử Mẫu Hoàn	EF-T0132	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
133	Đại Án Thâm Khuê	EF-T0133	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
134	Tế Sống	EF-T0134	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
135	Tín Đồ	EF-T0135	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
136	Luân Hồi	EF-T0136	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
137	Thích Khách	EF-T0137	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
138	Diệt Sạch Báo Thù	EF-T0138	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
139	Hoàng Lăng	EF-T0139	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
140	Cựu Ái Sở Tại	EF-T0140	B	LIVING_LORE	UNASSIGNED	OPEN	RESERVOIR_REVIEW	Retain independent local/sect story for close reading; channel is a preliminary editorial suggestion, no event or scene approved.
