term	task_id	sub_id	source_table	row_id	source_field	context
Du Long Giác	7	62	steps	329	target_params	"…ame>: ""Giống như trút được một gánh nặng vậy.""<end> <npc=204>: ""Không Vô đại sư cũng biết một số thông tin về Du Long Giác. Đại sư có thể nói lại một lần nữa không?""<end> <npc=205>: ""Chuyện này nói ra thì dài lắm.""<end>,Đến Vân Lộc …"
Du Long Giác	7	63	dialogues	73	cleaned_text	"[Không Vô Đại Sư]: ""Về chuyện Du Long Giác, Thiếu Lâm đã bí mật điều tra từ trước. Ngọn nguồn của nó cũng rất ly kỳ. Năm đó Thái Tổ có được thiên hạ, để…"
Du Long Giác	7	63	steps	330	target_params	"…ng cao thủ năm đó, chính là những người bảo vệ ngọc bây giờ. Nghe nói phải sử dụng đồng thời bí mật của họ và Du Long Giác, mới có thể làm cho thời thế thay đổi, xoay chuyển càn khôn.""<end> <playername>: ""Chẳng lẽ những người bảo vệ…"
Du Long Giác	7	63	steps	332	target_params	…Chắc là có liên quan mật thiết đến người Kim. Nhưng Chu đại hiệp đã chết, hắn muốn đến đây dò la thông tin về Du Long Giác chăng? Bần đạo cũng nghĩ không ra. Nhưng ngươi phải đến chỗ Đào Vĩnh Xương ngay, tên Không Vô giả mạo đó khôn…
Du Long Giác	7	63	subtasks	63	describe_cleaned	Hóa ra Trùng Dương chân nhân và Không Vô Đại Sư đang nói về Du Long Giác, thảo nào Chưởng giáo không lo lắng gì về việc ông lão bí mật bị hại, xem ra Không Vô Đại Sư đã nắm được tin …
Du Long Giác	8	64	steps	340	target_params	"…ư, vãn bối <playername> phụng mệnh Võ Đang chưởng giáo Trùng Dương chân nhân đến Thiếu Lâm tìm hiểu về chuyện Du Long Giác xuất thế. Được hội kiến phương trượng thật là vinh hạnh.""<end> <npc=211>: ""A Di Đà Phật, <if me.nSex==0>thí c…"
Du Long Giác	8	69	steps	363	target_params	… chính xác, Thiên Mục đạo trưởng bị giam cầm tại Hoàng Lăng Kim quốc. Lão nạp cho rằng muốn rõ chân tướng của Du Long Giác, phải tìm đầu mối từ Thiên Mục đạo trưởng. Ngươi có thể cải trang đột nhập vào Thiên Nhẫn Giáo để giải cứu đạ…
Du Long Giác	11		tasks	11	describe_cleaned	…vẫn tiếp tục lén lút qua lại với Lý An Toàn, Ngũ Độc Hồ Hiến Cơ của Tây Hạ chờ ngày nổi dậy. Lúc này, tin tức Du Long Giác được cất giữ ở Đường Môn làm chấn động cả giang hồ, Đường Khuyết cho rằng thời cơ đã đến. Cũng trong lúc này,…
Du Long Giác	12		tasks	12	describe_cleaned	Tin Du Long Giác xuất thế đã mang đến đại họa cho Thúy Yên Môn. Đệ tử môn hạ tử thương thê thảm, rất may là Môn Chủ đời trước …
Du Long Giác	12	85	steps	473	target_params	"… năm, chẳng lẽ uổng công sao?""<end> <npc=739>: ""Lão phu biết cô nương không quên được trang nam tử đó, chỉ là Du Long Giác một khi xuất thế, sẽ gây nên vô số rắc rối, phải hết sức thận trọng!""<end> <npc=738>: ""Việc này Thu Thủy đã n…"
Du Long Giác	12	85	subtasks	85	describe_cleaned	…ừ những gì họ nói, ta biết để tìm ra một nam tử, Lệ Thu Thủy đã nhờ Ma Y Thần Tướng giúp mình lấy một vật tên Du Long Giác. • Thần Tướng đã đồng ý thỉnh cầu của Lệ Thu Thủy, nhờ ta dùng la bàn đến 4 hoa viên Xuân, Hạ, Thu, Đông đo đ…
Du Long Giác	12	86	dialogues	101	cleaned_text	"… Thu Thủy]: ""Đó là Bách Hoa Trận, nơi bí mật liên quan đến sự tồn vong của bổn môn, tiên sinh hỏi vậy, lẽ nào Du Long Giác nằm trong Bách Hoa Trận?"" [Ma Y Thần Tướng]: ""Đúng là Bách Hoa Trận, trận pháp kỳ lạ, khiến ngọc khí không th…"
Du Long Giác	12	86	steps	481	target_params	742,72,12,Xin chào!,Ngươi thật đáng khen; 42000; Cao Thủ Tử Y võ thuật phi phàm, hãy ngăn họ mang Du Long Giác đi
Du Long Giác	12	86	steps	482	target_params	743,72,6,Xin chào!,Ngươi thật đáng khen; 48000; Đánh bại rất nhiều cao thủ giang hồ, nhanh tay lấy được Du Long Giác
Du Long Giác	12	86	steps	483	target_params	1502,72,6,Đang mở rương...,Được Du Long Giác,Ngại quá!,{Du Long Giác,20,1,200,1,0,1},1,Bạn đã lấy được %d/1 Du Long Giác,Được Du Long Giác,Xin chào!,Ngươi…
Du Long Giác	12	86	steps	484	target_params	"…ầy máu, đã xảy ra chuyện gì?""<end> <playername>: ""Có... có chuyện rồi... ""<end> <npc=738>: ""Ngươi muốn nói là Du Long Giác xuất thế à?""<end> <playername>: ""Đúng mà không đúng! Chuyện là thế này, có người xông vào Bách Hoa Trận. Ta v…"
Du Long Giác	12	86	subtasks	86	describe_cleaned	Ta đưa bản vẽ đo được cho Ma Y Thần Tướng, ông cho biết, Du Long Giác ở một nơi nào đó trong Bách Hoa Trận. • Nơi cửa Trận Pháp có một bầy sói, Lệ Thu Thủy muốn ta hãy diệt bầy só…
Du Long Giác	12	87	steps	487	target_params	"… lụy các ngươi rồi. Việc lần này nhờ <if me.nSex==0>thiếu hiệp<else>nữ hiệp<endif> ra tay trợ giúp, không thì Du Long Giác đã mất rồi, các ngươi phải cảm ơn người ta một tiếng!""<end> <npc=749>: ""Đa tạ <if me.nSex==0>thiếu hiệp<else>…"
Du Long Giác	12	87	subtasks	87	describe_cleaned	Ta đưa Du Long Giác vất vả lấy được cho Lệ Thu Thủy, còn chuyện nhân vật giang hồ đến đoạt Du Long Giác, ngay cả Lệ Thu Thủy cũng…
Du Long Giác	12	91	steps	513	target_params	"…g thổ ngữ, nên ta không hiểu gì!""<end> <npc=738>: ""Sự việc ngày càng phức tạp! Hiện giờ số người muốn có được Du Long Giác nhiều như cỏ trên thảo nguyên""<end> <npc=749>: ""Không xong rồi! Tam muội đã bị trọng thương, Đơn lão lão cũng…"
Du Long Giác	12	92	dialogues	107	cleaned_text	"…ách khôi phục lại"" [Đường Nhất Trần]: ""Yên Nhi nói chí phải. Trước mắt phải trị thương cho môn đệ và cất giấu Du Long Giác. Lần này tuy đã đánh lui thích khách, nhưng ai dám nói chúng sẽ không quay lại? Chưa kể tin đồn sẽ lan ra ngo…"
Du Long Giác	12	92	steps	516	target_params	"… thể nhớ được kẻ tục nhân này! Lần này tại hạ phụng mệnh tân chưởng môn Thúy Yên Môn Doãn Hàm Yên đến báo tin Du Long Giác bị cướp. Thúy Yên Môn vừa bị thảm sát, Doãn chưởng môn xin chân nhân lưu tâm đến chuyện này""<end> <npc=765>: …"
Du Long Giác	12	92	subtasks	92	describe_cleaned	…ải đối mặt. • Thúy Yên Môn trải qua kiếp nạn lần này, được sự chấp thuận của Doãn Hàm Yên, quyết định đem tin Du Long Giác xuất thế và bị cướp công bố ra ngoài để tìm hung thủ thực sự và tránh sự quấy rầy không đáng có của người tro…
Du Long Giác	16	111	dialogues	128	cleaned_text	"… Bang và Cái Bang không cần tìm kiếm tung tích của Lý Nguyên Triết, để tránh không làm hại hắn. Còn về chuyện Du Long Giác ngươi phải giữ bí mật, không được tùy tiện nói với người khác."""
Du Long Giác	16	111	subtasks	111	describe_cleaned	Đồ án có liên hệ mật thiết với Du Long Giác đã tìm được, nhưng ngay cả Bất Động Tiên Sinh có học vấn nhất trong thôn và Long Ngũ thái gia có tuổi tác cao…
Du Long Giác	16	115	steps	663	target_params	"…3266 1651,3271 1648,3268 1656,3251,5; <npc=1239>: ""Nếu ta đoán không lầm, ngươi đến đây vì báu vật giấu trong Du Long Giác đúng không?<end> <Playername>: ""Ngươi là ai, sao lại ở đây, sao ngươi biết được Du Long Giác?<end> <npc=1239>…"
Du Long Giác	17	116	steps	668	target_params	"…ó phải là chuyện lớn. Hai vị bang chủ Dương, Thạch rất lo lắng. Họ đoán rằng chắc chắn việc này liên quan đến Du Long Giác, nên đã mời nghĩa quân ta cùng truy tìm tung tích của Du Long Giác.""<end> <playername>: ""Nhưng, nghĩa quân ta…"
Du Long Giác	17	121	dialogues	139	cleaned_text	"… luôn muốn làm môn chủ Đường Môn, nhưng lại bị Đường Hiểu chiếm mất ngôi vị đó. Sau đó Đường Khuyết biết được Du Long Giác ở Đường Môn, bèn âm thầm tìm kiếm, không ngờ hắn phát hiện được bí mật của Du Long Giác."" [Đại Hiệp]: ""Ngươi …"
Du Long Giác	17	121	subtasks	121	describe_cleaned	…iết rời khỏi Đường Môn, tất cả bí mật chỉ vì 1 tấm đồ án, thì ra nội gián chính là kẻ xảo quyệt Đường Khuyết. Du Long Giác ở trong Đường Môn là điều chắc chắn, còn đồ án Lý Nguyên Triết đem đi, thì trong tay Tiểu Anh, tỷ tỷ của Quác…
Du Long Giác	18	122	steps	706	target_params	"…ayername>: ""Thạch bang chủ, đây là bức họa được vẽ theo bức hình Lý Nguyên Triết lấy từ Đường Môn, bí mật của Du Long Giác có thể trong bức họa này. Người xem thử có hàm ý đặc biệt nào không?""<end> <npc=3542>: ""Bức họa này à? Hãy nó…"
Du Long Giác	18	123	dialogues	141	cleaned_text	"[Bạch Thu Lâm [Thủ Lĩnh Nghĩa Quân]]: ""Theo lời ngươi nói, muốn vào bên trong Du Long Giác phải có ba vị cao thủ hợp sức mới phá giải được, nếu không có Du Long Giác thì dù biết được bí mật này cũng b…"
Du Long Giác	18	123	subtasks	123	describe_cleaned	…i nói với ta rằng từ khi ta đến Thiếu Lâm, Dương Thiết Tâm và Thạch Hiên Viên đã triển khai kế hoạch đoạt lại Du Long Giác. Tuy nói là bí mật của bức họa liên quan mật thiết với Du Long Giác, nhưng chỉ có lấy được Du Long Giác, phá …
Du Long Giác	18	124	dialogues	142	cleaned_text	… không có ở Biệt Viện, đây chính là cơ hội tốt để ta ra tay. Tuy Đường Môn không như các môn phái khác, nhưng Du Long Giác là vật thần thánh, ai mạnh thì sẽ giành được, Đường Nhất Trần có biết được ý định của ta cũng không làm gì đư…
Du Long Giác	18	124	steps	722	target_params	"…542,0,<subtaskname>,<Playername>: ""Thạch bang chủ, Dương bang chủ mời người đến Điểm Thương Sơn bàn cách đoạt Du Long Giác!""<end> <npc=3542>: ""Dương huynh đệ sao lại vội thế nhỉ? Đường Môn là một đại bang, sao có thể mạo hiểm thế đư…"
Du Long Giác	18	125	subtasks	125	describe_cleaned	Dương Thiết Tâm nói, thật ra ông ấy đến đây không phải để tranh đoạt Du Long Giác, mà là nghe tin tình báo nói có 1 đám Hắc Y Nhân đang đến, vì phòng ngừa Du Long Giác bị lọt vào tay bọn họ n…
Du Long Giác	18	127	steps	740	target_params	…chưa từng nghĩ sẽ chiếm vật này làm của riêng. Lần này ta đến Thiếu Lâm là muốn nhờ Huyền Từ đại sư tiếp quản Du Long Giác. Vật này rất có giá trị, là bảo vật đối với người khác, nhưng với ta đó là tai họa loạn quốc diệt môn! Chuyện…
Du Long Giác	18	127	steps	741	target_params	"… nói ngài không cần phái người đến Đường Môn.""<end> <npc=3512>: ""Sao vậy?""<end> <playername>: ""Vài ngày trước Du Long Giác đã bị trộm, Đường Nhất Trần tiền bối đang tìm thủ phạm, sợ Thiếu Lâm đến uổng công, nên bảo ta đến báo trước.…"
Du Long Giác	18	127	steps	743	target_params	"…ta đã quyết định, 3 bang Thiên Vương, Đường Môn, Cái Bang sẽ hợp sức truy tìm hung thủ, nhất định phải tìm ra Du Long Giác.""<end> <npc=850>: ""Đúng vậy, <playername>, ngươi hãy về nói cho Thu Lâm biết chuyện ở đây, rồi đợi tin của ta…"
Du Long Giác	18	127	steps	744	target_params	"3570,0,<subtaskname>,<npc=3570>: ""Có lấy được Du Long Giác không?""<end> <playername>: ""Du Long Giác đã bị cướp mất rồi.""<end> <npc=3570>: ""Sao? Chuyện là thế nào?""<end>…"
Du Long Giác	18	127	subtasks	127	describe_cleaned	…ống Phù có thể nhanh chóng đến Thiếu Lâm.) • [Huyền Từ Phương Trượng tại Thiếu Lâm Phái (1733/3061)] biết tin Du Long Giác bị mất đã giật mình, muốn ta chuyển lời đến [Đường Nhất Trần tại Điểm Thương Sơn (1821/3257)] rằng Thiếu Lâm …
Du Long Giác	19	128	dialogues	146	cleaned_text	"[Bạch Thu Lâm [Thủ Lĩnh Nghĩa Quân]]: ""3 phái Thiên Vương, Cái Bang và Đường Môn hợp sức tìm tung tích Du Long Giác, nhưng chỉ có Cái Bang có tin tức, nghe nói chuyện này có liên quan đến Ngũ Độc Giáo. Thạch Hiên Viên hạ lệnh…"
Du Long Giác	19	128	steps	746	target_params	"…ername>: ""Tiêu đại ca, ta là nghĩa quân <playername>, phụng mệnh Bạch Thu Lâm đến giúp quý bang tìm tung tích Du Long Giác, xin Tiêu đại ca chỉ giáo.""<end> <npc=895>: ""Không dám, không dám. Ta và Hàn Trung vô tình phát hiện hành tun…"
Du Long Giác	19	128	subtasks	128	describe_cleaned	… Lâm biết được trước mắt Cái Bang, Thiên Vương và Đường Môn 3 phái hợp lực dốc hết sức truy tìm tung tích của Du Long Giác, nhưng chỉ có Cái Bang có tin tức. Như Thạch Hiên Viên đã nói, có 2 đệ tử Cái Bang tại Cửu Nghi Khê có phát h…
Du Long Giác	19	129	dialogues	147	cleaned_text	… bức mật lệnh từ chỗ người Kim, giữa đường bị đệ tử Ngũ Độc Giáo cướp mất. Theo ta, bọn người Kim kia đã cướp Du Long Giác, còn Ngũ Độc Giáo chắc cũng vì chuyện này mà bám theo, chờ thời cơ ra tay. Muốn tìm ra sự thật, phải mau chón…
Du Long Giác	19	129	steps	749	target_params	"…ồi.""<end> <Playername>: ""Các ngươi theo dõi bọn người Kim làm gì?""<end> <npc=891>: ""Nghe nói có liên quan đến Du Long Giác, ngoài ra ta không biết gì nữa.""<end> <Playername>: ""Không được làm ầm chuyện này lên, nếu không ta sẽ lấy mạ…"
Du Long Giác	19	130	dialogues	149	cleaned_text	"…tên Tống Đông Lai. Ngũ Độc Giáo liên tục phái các cao thủ, càng khiến ta cảm thấy chuyện này có liên quan đến Du Long Giác. Ta đã bẩm báo cho bang chủ biết dự tính của ta, chuyện quan trọng bây giờ là lấy lại mật lệnh."" [Đại Hiệp]: …"
Du Long Giác	19	130	subtasks	130	describe_cleaned	Sau khi suy đoán của Hàn Trung tương ứng với lời của Tiền Bỉnh Thành, ta đoan chắc Du Long Giác đã bị người Kim quốc đoạt mất. Việc này không biết vì sao bị Ngũ Độc Giáo phát hiện, nên truy đuổi tới cùng, …
Du Long Giác	19	132	subtasks	132	describe_cleaned	…áo có hành động gì. • Xem ra Ngũ Độc Giáo quả đúng là đi trước 1 bước đến tập kích người Kim rồi. Để đề phòng Du Long Giác rơi vào tay Ngũ Độc Giáo, ta phải nhanh chân đến [những nơi của Ngũ Độc Giáo tại Cửu Nghi Khê (1887/3700)]. •…
Du Long Giác	19	133	dialogues	152	cleaned_text	"…c Giáo]]: ""Ta chính là đặc sứ do Giáo chủ phái đến, bổn giáo đã quyết định liên minh với Thiên Vương Bang tìm Du Long Giác, ngươi là đệ tử nghĩa quân, chúng ta có thể xem là đồng minh. Bổn giáo tuy không được coi trọng, nhưng cũng l…"
Du Long Giác	19	133	steps	767	target_params	"106,1892,3585,984,75,987,<subtaskname>,<Playername>: ""Lũ Thát Đát các ngươi đã trộm Du Long Giác phải không, hãy mau khai thật!""<end> <npc=984>: ""%..................&@#@#%%......#......""<end> <Playername>: …"
Du Long Giác	19	133	steps	769	target_params	"…skname>,<npc=3570>: ""Ngươi đi biệt mấy ngày, khiến ta hơi lo lắng. May mà ngươi quay về an toàn, có tin gì về Du Long Giác không?""<end> <Playername>: ""Du Long Giác hiện đã nằm trong tay của người Kim, lần này quay về để báo tin Ngũ …"
Du Long Giác	19	133	subtasks	133	describe_cleaned	… khi liên kết với Thiên Vương Bang, thì tự động coi như đồng minh, nhanh chóng tương trợ tìm ra tung tích của Du Long Giác. • Tăng cấp 76 mới đến tương trợ đệ tử Ngũ Độc Giáo. • Đệ tử Ngũ Độc Giáo và [người Kim quốc tại Cửu Nghi Khê…
Du Long Giác	19	134	dialogues	153	cleaned_text	"…ũ Độc Giáo."" [Bạch Thu Lâm [Thủ Lĩnh Nghĩa Quân]]: ""Vào ngày ngươi và Dương bang chủ phát hiện có kẻ đoạt mất Du Long Giác khỏi Đường Môn, không biết rằng Cổ giáo chủ đã phát hiện ra trước. Ngũ Độc Giáo đuổi theo đám người đó, qua l…"
Du Long Giác	19	134	steps	770	target_params	"…t vui. Cổ giáo chủ của Ngũ Độc Giáo vẫn là bậc kỳ nữ hiện nay, tâm tư và mưu lược hơn hẳn cánh nam tử như ta. Du Long Giác mất vẫn luôn trong sự quan sát của cô ấy. Cân nhắc nhiều lý do trong đó, ta mới quyết định hợp tác.""<end> <Pl…"
Du Long Giác	19	134	steps	771	target_params	"…ủ bỏ qua.""<end> <npc=3524>: ""Ngươi không cần phải vậy, lệnh này ở chỗ ta. Về nguồn gốc của nó và toàn bộ việc Du Long Giác biến mất, ta sẽ từ từ kể. Lòng dạ của Đường Nhất Trần thâm sâu, hôm Du Long Giác bị cướp ở Thúy Yên Môn, ông …"
Du Long Giác	19	134	subtasks	134	describe_cleaned	…ồi yêu cầu ta đến Ngũ Độc Giáo bái kiến Giáo chủ [Cổ Yên Nhiên tại Ngũ Độc Giáo (1452/2977)] thương thảo việc Du Long Giác.
Du Long Giác	19	135	steps	775	target_params	"…i?""<end> <Playername>: ""Ngươi yên tâm, ta là đồng minh của Ngũ Độc Giáo. Ta đến để cứu ngươi và tìm tung tích Du Long Giác. Ngươi có biết những người ở đây là ai không, thành viên Ảnh Tử Hội đâu rồi? Sao chúng lại nhốt ngươi ở đây?""…"
Du Long Giác	19	135	steps	777	target_params	…n nấp nơi đây, xem ra vết thương của chúng cũng không nhẹ, hãy bắt một người trong bọn chúng để hỏi tung tích Du Long Giác và những Huyết Ảnh khác.)<end>,Hỏi tung tích của Du Long Giác từ Huyết Ảnh; 12000
Du Long Giác	19	135	steps	778	target_params	"102,1450,2983,1004,75,1015,<subtaskname>,<Playername>: ""Các ngươi đã đem Du Long Giác đi đâu rồi? những Huyết Ảnh khác đã trốn ở đâu? Nói mau!""<end> <npc=1015>: ""Đừng hòng ta khai ra điều gì, Huy…"
Du Long Giác	19	135	steps	779	target_params	"…ch thoát thân, không phải lo. Ta đã tìm ra tung tích của Huyết Ảnh ẩn nấp ở đây, nhưng không tìm ra tung tích Du Long Giác. Nhìn chúng thản nhiên như vậy có lẽ Du Long Giác không ở trong tay chúng.""<end>,Tìm Tiền Hải bàn đối sách,Tì…"
Du Long Giác	19	135	subtasks	135	describe_cleaned	Thì ra đoạt Du Long Giác là Ảnh Tử Hội của Kim quốc, họ được thuê bởi 1 tên Chủ Sứ ở đằng sau 1 tay lên kế hoạch. Cổ Yên Nhiên một mặt…
Du Long Giác	20	136	dialogues	155	cleaned_text	"[Tiền Hải [Đệ Tử Ngũ Độc Giáo]]: ""Theo như [Nam: thiếu hiệp / Nữ: cô nương] nói, Du Long Giác hiện giờ đang nằm trong tay của một đám Huyết Ảnh. Lúc đó có hai nhóm Huyết Ảnh từ trong Cửu Nghi Khê xông ra…"
Du Long Giác	20	136	subtasks	136	describe_cleaned	Để tìm tung tích Du Long Giác, ta đã đến Kê Quán Động tìm Tiền Hải và La Thành. Sau 1 hồi nỗ lực, ta tìm thấy nơi ẩn náu của Huyết Ảnh, chứ…
Du Long Giác	20	137	steps	787	target_params	…gươi, Đa đại ca không cần đa lễ như vậy đâu. Giờ Ngũ Độc Giáo và nghĩa quân đã là đồng minh, hợp sức truy tìm Du Long Giác, ta cũng vì việc này mà đuổi đến đây. Không biết nơi đây đã xảy ra việc gì, bọn Huyết Ảnh đã đi đâu? Sao Đa đ…
Du Long Giác	20	137	subtasks	137	describe_cleaned	Để tìm tung tích Du Long Giác, ta đã đến Mê Cung Sa Mạc, thấy thi thể của đệ tử Ngũ Độc Giáo. Những đệ tử Ngũ Độc này trước khi chết đã dùn…
Du Long Giác	20	138	dialogues	157	cleaned_text	… nghe Thanh Thập Lục nói cứ đi về phía tây khoảng nửa giờ sẽ thấy vết tích. Theo như ám hiệu của Long đại ca, Du Long Giác nhất định đang nằm trong tay bọn người Kim này, bọn chúng đều là cao thủ, nếu không chúng ta sẽ không dễ bị b…
Du Long Giác	20	138	steps	788	target_params	"…ame>: ""Có phải là Long Ngâm đại ca của Ngũ Độc Giáo? Tại hạ là <Playername> của nghĩa quân, đang theo dấu của Du Long Giác. Nghe nói Long đại ca bị bắt, nên đến để giải cứu!<end> <npc=905>: ""Trước tiên phải hạ thủ bọn đang canh giữ …"
Du Long Giác	20	138	steps	790	target_params	"905,0,<subtaskname>,<Playername>: ""Long đại ca đã cảm thấy an toàn chưa? Có biết bọn chúng đem Du Long Giác đi đâu không?""<end>,Đối thoại với Long Ngâm,Đối thoại với Long Ngâm,Xin chào!,Ngươi thật đáng khen; 000000000…"
Du Long Giác	20	138	subtasks	138	describe_cleaned	…ợc quá trình bị bắt của y và Long Ngâm. Đa Ma nói, Long Ngâm bị Huyết Ảnh của Ảnh Tử Hội bắt đi về hướng tây, Du Long Giác cũng trong tay bọn chúng. Phía tây là sa mạc vô tận, Long Ngâm và Huyết Ảnh đã đến đó, ta chỉ còn cách dốc hế…
Du Long Giác	20	139	subtasks	139	describe_cleaned	…ây, lấy được tin tức mới nhất của Huyết Ảnh. Bọn họ bố trí Long Ngâm ở đây rồi vội vàng rời khỏi, chắc là đem Du Long Giác giao cho kẻ chủ mưu. Còn kẻ chủ mưu là ai thì Long Ngâm không hề nghe Huyết Ảnh tiết lộ gì cả. May mà Long Ng…
