chapter_key	function_key	primary_packet	result_refs	evidence_class	writer_escalation
V4-CH-16	V4-EW-05	../evidence/source-packets/arc_10.json	tasks[task_id=329].subtasks[sub_id=504]	LABOR_REPORT + FAMILY_CONTEXT + GAMEPLAY	Hạ-action/guilt/reunion/labor-outcome/history
V4-CH-17	V4-EW-06	../evidence/source-packets/arc_10.json	tasks[task_id=331].subtasks[sub_id=506]	SOURCE_STATISTIC_REPORT + DOCUMENT_CLUE + GAMEPLAY_JUDGMENT	statistic-truth/guilt/Tĩnh-investigation/execution/outcome
V4-CH-18	V4-EW-07	../evidence/source-packets/arc_10.json	tasks[task_id=332].subtasks[sub_id=507]	CHARACTER_DOCUMENT_CLAIM + RELIABILITY_LOCK + GAME_OBJECTIVE	contents/custody/mechanism/corroboration/route/revelation
V4-CH-19	V4-EW-08	../evidence/source-packets/arc_10.json	tasks[task_id=352].subtasks[sub_id=527]	MEGA_CHAIN_SETUP + ORGANIZATION_REPORT + AVATAR_ROUTE	avatar-mapping/trio-substitution/command/escort/travel
V4-CH-20	V4-EW-08	../evidence/source-packets/arc_10.json	tasks[task_id=352].subtasks[sub_id=528]	DIRECT_GAME_EVENT + ASSAILANT_REPORT + MEDICAL_CLAIM	chronology/motive/history/treatment/Tĩnh-action
V4-CH-21	V4-EW-08	../evidence/source-packets/arc_10.json	tasks[task_id=352].subtasks[sub_id=529];tasks[task_id=352].subtasks[sub_id=530]	MEDICAL_EFFECT_CLAIM + RELATIONSHIP_INFERENCE + GAMEPLAY	medicine/recovery/love/promise/Hạ-presence
V4-CH-22	V4-EW-08	../evidence/source-packets/arc_10.json	tasks[task_id=352].subtasks[sub_id=531];tasks[task_id=352].subtasks[sub_id=532]	RELATIONSHIP_REPORT + INTELLIGENCE_CLUE + GAMEPLAY	map-truth/motive/history/Tĩnh-infiltration/knowledge
V4-CH-23	V4-EW-08	../evidence/source-packets/arc_10.json	tasks[task_id=352].subtasks[sub_id=533];tasks[task_id=352].subtasks[sub_id=534]	COVERT_GAME_ACTION + PUBLIC_POWER_DISPLAY + GAMEPLAY	rank/combat/leadership-plan/Tiêu-action
V4-CH-24	V4-EW-08	../evidence/source-packets/arc_10.json	tasks[task_id=352].subtasks[sub_id=535]	CAPTIVITY_REPORT + SEXUAL_VIOLENCE_THREAT + DIRECT_GAME_OUTCOME	graphicization/drug-mechanism/Hạ-rescue/motive/combat-credit
V4-CH-25	V4-EW-08	../evidence/source-packets/arc_10.json	tasks[task_id=352].subtasks[sub_id=536]	DIRECT_SOURCE_DECISION + POLITICAL_COUNTERFACTUAL + ROUTE_EXIT	war-certainty/whereabouts/relationship/recovery/trio-substitution
V4-CH-26	V4-EW-09	../evidence/source-packets/arc_10.json	tasks[task_id=354].subtasks[sub_id=538];tasks[task_id=356].subtasks[sub_id=540]	SPEAKER_MEMORY + FRIENDSHIP_REPORT + GAMEPLAY_RESOLUTION	historical-truth/shared-chronology/complete-absolution/Tiêu-action
V4-CH-27	V4-EW-09	../evidence/source-packets/arc_10.json	tasks[task_id=357].subtasks[sub_id=541]	SOLDIER_TESTIMONY + FAMILY_REPORT + GAMEPLAY	conscription-policy/history/Tiêu-action/family-outcome
V4-CH-28	V4-EW-09	../evidence/source-packets/arc_10.json	tasks[task_id=360].subtasks[sub_id=544]	DIRECT_SOURCE_CONTEXT + INJURY_REPORT + MEDICAL_EFFECT_CLAIM	attacker/Hạ-rescue/medicine/efficacy/recovery/chronology
