candidate_id	movement_id	primary_pov	chapter_function	entry_state	exit_state	source_nodes	event_family_ids	bridge_decisions	knowledge_in	knowledge_out	npc_agency	irreversible_change	causal_predecessors	causal_returns	narrative_load	coverage_channel	protected_unknowns	status
V1-CAND-011	M2	HA_NUONG	Chứng minh y thuật cá nhân không thay thế năng lực tổ chức: Hạ Nương giữ liên lạc/chăm sóc còn môn phái và cao thủ giữ chiến trận.	Phòng tuyến bị chia cắt; tổ chức cần tập hợp nhân lực và giành lại thế chủ động.	Đợt tấn công bị chặn nhờ hành động tập thể; tù binh và thương binh mở sang hậu quả điều tra/chuyển chữa.	T12/S89/D104;T12/S89/E499;T12/S89/E506;T12/S90/D105;T12/S90/E507;T12/S90/E511	EF-T0012	R-28;PB-04;R-30;PB-06;R-47;V1CAQ-01	Biết phòng tuyến mất liên kết và thương binh tăng.	Biết ai được huy động và kết quả phòng thủ có thể quan sát; không biết cơ chế Huyền Nguyệt hoặc chủ mưu.	Chung Linh Tú đặt chiến thuật; Lệ Thu Thủy phát tín hiệu; Đông Hoài, Hạ Thịnh và phu phụ Đường Nhất Trần giữ quyền chiến đấu.	NONE_INSTITUTIONAL_SURVIVAL_TURN; Hạ Nương không nhận chiến thắng.	V1-CAND-007	V1-CAND-019	HEAVY	DIRECT_TRIO	HUYEN_NGUYET_MECHANISM; từng đòn; người hạ thủ lĩnh; custody; thương vong.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-012	M2	TIEU_PHUNG	Hoàn tất bài học ủy quyền: giao chìa khóa cho Thu Di để tổ chức cứu Giới và huy động mạng cửa tiệm.	Tiêu giữ chìa khóa và muốn quay lại cứu Giới.	Thu Di giữ chìa, tự cử người cứu; Tiêu nhận phần cảnh báo/hỗ trợ hữu hạn; kết quả cứu chưa biết.	T157/S320/E1432;T157/S312/E1393;T157/S312/E1408	EF-T0157	R-14;CDI-03;R-47;V1CAQ-01	Biết Giới đang nguy hiểm và hệ thống thủy lưu có rủi ro.	Biết Thu Di đánh giá nguy cơ chưa như dự tưởng và tổ chức đã hành động; không biết kết quả cứu.	Thu Di điều người; các chủ tiệm bảo vệ hạ tầng và duy trì nghề nghiệp thay vì chờ Tiêu giải quyết hết.	Tiêu trao quyền kiểm soát chìa khóa và mạng cứu hộ cho cộng đồng.	V1-CAND-009	V1-CAND-014;V1-CAND-017	MEDIUM	LIVING_LORE	Người/cách cứu Giới; kết quả cứu; mức thiệt hại; cơ chế ngoài source.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-013	M2	TINH_XUYEN	Đưa một chứng cứ giới hạn về nhóm thích khách vào quyết định lãnh đạo rồi cho thấy việc cứu Hàn đã kéo xung đột công khai tới đảo.	Hàn đã rời; lai lịch đối thủ chưa đủ chứng cứ.	Độc Hỏa Thảo hỗ trợ nhận định hẹp về thích khách; lực lượng Đại Nội đổ bộ; Thiên Vương bước vào phòng thủ công khai.	T1/S5/E25;T1/S5/E26;T1/S5/E28;T1/S5/D8	EF-T0001	R-14;TX-I-D;R-47;V1CAQ-01	Biết đối thủ truy Hàn nhưng chưa rõ affiliation.	Biết vật chứng hỗ trợ nhận định về nhóm thích khách và báo cáo tiền tuyến gọi lực lượng mới là Đại Nội; không biết toàn Ngũ Độc đồng chủ mưu.	Bang Chúng Kính Trang đề nghị tìm vật chứng; Dương đánh giá; trinh sát/bang chúng báo động cuộc đổ bộ.	Xung đột từ bí mật chuyển thành vây đánh công khai.	V1-CAND-010	V1-CAND-015	MEDIUM	DIRECT_TRIO	Toàn Ngũ Độc có cùng mục tiêu hay không; ai ra lệnh; historical truth; casualty count.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-014	M2	TIEU_PHUNG	Khiến bí mật thân thế trở thành mối nguy công cộng qua vụ Bạch Cương mà không giải chân tướng cha mẹ hoặc quan hệ giữa các cuộc tấn công.	Tiêu vừa chạm một thư cũ và tin Bạch Cương trở về.	Biết Bạch bị nhiều nhóm truy sát, trục cuốn bị xé và sự hiện diện của mình có thể kéo nguy hiểm về thôn.	T157/S313/E1412;T157/S313/E1414;T157/S321/E1433;T157/S321/D467;T157/S322/E1437;T157/S322/D468	EF-T0157	R-12;R-14;TP-I-D;R-47;V1CAQ-01	Chỉ có lời Thu Di về cha mẹ và Bạch Cương.	Biết đó là lời kể và một trục cuốn tồn tại; chưa biết Minh Dương–Tố Trinh là tri thức của Tiêu hay causal link giữa các vụ.	Thu Di phái tinh nhuệ; Cao Thăng và Thôi Kiếm giữ tuyến; Bạch Cương bảo quản thông tin và người tiếp ứng trả giá.	Tiêu nhận ra việc ở lại có thể khiến cộng đồng tiếp tục thành mục tiêu.	V1-CAND-012	V1-CAND-017	HEAVY	DIRECT_TRIO	Quan hệ thật giữa phá thủy lưu và truy Bạch; chân tướng cha mẹ; số tử thương; phân phối chiến đấu avatar.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-015	M2	TINH_XUYEN	Làm suy yếu ảo tưởng thi hành đúng lệnh là đủ bằng một thắng lợi phòng thủ tạm thời trong khi mặt trận khác tiếp tục trả giá.	Đại Nội tấn công; Dương đã phát lệnh phản công.	Huyền Long Than tạm an toàn; việc cầm chân giúp Hàn thêm cơ hội; Đại Mãnh Chủy lâm nguy và đã có tổn thất.	T1/S6/E29;T1/S6/E30;T1/S6/D9	EF-T0001	R-14;TX-I-D;R-47;V1CAQ-01	Chỉ biết mệnh lệnh và mặt trận được giao.	Biết thắng cục bộ không giải vây toàn đảo; biết mạng người và thời gian ở mặt trận khác là cái giá.	Dương định chiến lược; bang chúng giữ tuyến; người báo tin khiến quyết định phải đổi; chiến sự không dừng theo POV.	Báo cáo xác lập phòng tuyến khác đã chịu tổn thất; không thể trở về trạng thái chưa trả giá.	V1-CAND-013	V1-CAND-016	HEAVY	DIRECT_TRIO	Số người chết; danh tính/thương tích; phân vai đặt cờ/chiến đấu; chronology tuyệt đối.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-016	M2	TINH_XUYEN	Chuyển trọng tâm chiến công sang kỹ nghệ–hậu cần và để bằng chứng phản bội nội bộ khiến giải pháp quân sự đơn tuyến không còn đủ.	Đại Mãnh Chủy bị ép; phòng tuyến cần quân bị.	Tiễn xa vào hệ thống dưới quyền Hùng Đỉnh; quân lệnh bí mật cho thấy Diêm Bang hỗ trợ Đại Nội tìm thư; vòng vây buộc cầu viện.	T1/S7/E31;T1/S7/E34;T1/S7/E36;T1/S7/D10	EF-T0001	R-14;TX-I-D;R-47;V1CAQ-01	Biết mặt trận thiếu phương tiện nhưng chưa biết nguyên nhân thất thủ.	Biết Hùng Đỉnh sở hữu kỹ nghệ/chỉ dẫn và bằng chứng hẹp về Diêm Bang; chưa biết toàn bộ mạng phản bội.	Hùng Đỉnh thiết kế/hướng dẫn; Dương điều quân; bang chúng giữ tuyến; Diêm Bang hành động cho phía đối phương.	Bằng chứng phản bội của Diêm Bang tới lãnh đạo; khủng hoảng không còn chỉ là ngoại kích.	V1-CAND-015	V1-CAND-018	MEDIUM	DIRECT_TRIO	Quy mô phe Diêm Bang; nội dung quân lệnh ngoài nguồn; phân vai chế tạo/chiến đấu; không nâng Tĩnh Xuyên thành người phát minh.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-017	M3	TIEU_PHUNG	Khôi phục nguyên văn sấm thi rồi buộc Tiêu rời quê khi mọi câu trả lời vẫn chưa có.	Trục cuốn phân mảnh; thôn và mạng Nghĩa quân bị đe dọa.	Bốn câu sấm được đọc nguyên văn; cộng đồng giữ home front; Tiêu rời đi qua Cao Thăng với món nợ chưa khép.	T157/S323/E1438;T157/S323/E1442;T157/S323/E1443;T157/S323/D469	EF-T0157	R-05;R-12;R-14;PB-02;R-47;V1CAQ-01	Biết trục cuốn gắn với lời cha để lại theo lời Bạch.	Biết nguyên văn sấm nhưng không biết nghĩa, cha mẹ thật hoặc kẻ chủ mưu.	Cao Thăng và Thôi Kiếm truy mảnh; Thu Di bố trí bảo vệ; Bạch Cương cảnh báo nhưng không giải được sấm.	Tiêu rời nơi nuôi mình lớn, mang trách nhiệm với người ở lại.	V1-CAND-006;V1-CAND-014	V1-CAND-021	HEAVY	DIRECT_TRIO	Diễn giải sấm; đích/chặng/thời lượng; thư giới thiệu; số người bị hại; cha mẹ sống/chết theo chân lý khách quan.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-018	M3	TINH_XUYEN	Cho Tĩnh Xuyên rời phòng tuyến để mang hai thư, hoàn tất giao cho Cái Bang rồi rút khỏi cửa sổ hiện diện, chấp nhận mất quyền kiểm soát hậu quả.	Thanh Loa bị vây; Tĩnh Xuyên nhận hai thư gửi Thạch Hiên Viên và Cầu Chỉ Thủy.	TX_LETTER_HANDOFF_DELIVERED_TO_CAI_BANG; TX_EXITED_WINDOW; Cái Bang sở hữu thư và tự quyết.	T1/S8/E37;T1/S8/E40;T1/S8/E41;T1/S8/D11;T2/S9/E42;T2/S9/E43;T2/S9/E44;T2/S9/D12	EF-T0001;EF-T0002	R-17;R-27;PB-01;R-29;PB-05;R-33;BFCQ-03;R-38;CDQ-03;R-47;V1CAQ-01	Biết mục đích hai thư trong phạm vi Dương trực tiếp giao và đảo đang bị vây.	Biết Thạch/Cầu nhận thư và phản hồi nói trước khi chàng rời; không biết quyết định, lôi đài hoặc Tiêu Phùng tới sau.	Dương quyết mục tiêu thư; Bùi chuẩn bị phương tiện; ngư phu và La Phong vận hành handoff; Thạch/Cầu tự quyết.	Tĩnh Xuyên rời người/phòng tuyến muốn bảo vệ, hoàn tất bàn giao và mất quyền kiểm soát hậu quả.	V1-CAND-016	CDK-02;V1-CAND-021;C-I-01	HEAVY	DOCUMENT_TRACE	Đích, đường, phương tiện chặng sau, thời lượng, việc quay lại; câu chữ thư ngoài nguồn; không giữ điều khoản ở lại rèn luyện; không gặp Tiêu Phùng.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-019	M3	HA_NUONG	Để điều tra thất bại và Tam Muội trọng thương buộc Hạ Nương chọn chuyển chữa thay vì truy artifact/manh mối, thừa nhận giới hạn y thuật.	Địch lui nhưng lai lịch chưa rõ; thương binh vượt khả năng chữa tại chỗ.	Tù binh chết trước lời giải; Tam Muội được chuyển tới điểm chữa Đại Lý; kết quả y khoa và khoảng vắng của Hạ Nương để mở.	T12/S91/D106;T12/S91/E512;T12/S91/E515	EF-T0012	R-28;R-34;BFCQ-04;CDK-05;R-47;V1CAQ-01	Biết chiến sự vừa kết thúc và còn người bị thương.	Biết tù binh tự tử và Tam Muội cần chuyển chữa; không suy thủ phạm từ độc.	Đường Nhất Trần và Doãn Hàm Yên xử lý tra hỏi; tù binh tự chọn chết; Lệ Thu Thủy yêu cầu chuyển bệnh nhân; y giới Đại Lý nhận chặng chữa.	Hạ Nương ưu tiên mạng người, chấp nhận bỏ trống một khoảng quan sát về artifact/nội bộ môn phái.	V1-CAND-011	V1-CAND-024	HEAVY	DIRECT_TRIO	Chẩn đoán, phương thuốc, kết quả; người đồng hành; hành trình Đại Lý; nguồn độc; custody.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-020	M4	SATELLITE_CANDIDATE	Cho Lục Trầm Châu tự lựa chọn đoạn tuyệt Diêm Bang và theo Thạch Hiên Viên trước khi trở thành người thi hành phán quyết bang quy, không dùng Tiêu Phùng làm camera cho đời ông.	Lục bị đặt vào nguy cơ từ Tô Hữu Tưởng; source avatar từng can thiệp.	LUC_RESCUE_CAI_BANG_OFFSCREEN_ACTION_NO_NAMED_RESCUER; Lục sống, tự chọn theo Thạch và đủ hiện diện cho lôi đài.	T2/S10/E49;T2/S10/E50;T2/S12/E57;T2/S12/E59;T2/S12/E60	EF-T0002	R-31;BFCQ-01;R-36;CDQ-01;LWCQ-02;CAPQ-04;R-48;V1CAQ-02	Lục chỉ biết nguy cơ, cách mình bị đối xử và điều Thạch đề nghị; không biết ai/cách nào cứu nếu ngoài trải nghiệm được phép kể.	Biết mình còn sống và có lựa chọn đổi đường; không biết chuyện Tiêu Phùng hoặc custody Du Long.	Lục tự cân nhắc và chọn theo Thạch; Thạch đưa đề nghị; Cái Bang hành động như thiết chế, không sản sinh cứu tinh toàn năng.	Lục đoạn tuyệt Diêm Bang và chọn đi theo Thạch Hiên Viên.	V1-CAND-018	V1-CAND-022	MEDIUM	SATELLITE_CANDIDATE	Danh tính/cách/cái giá cụ thể của việc cứu; chi tiết thương tích; hành trình; mọi tri thức ngoài tầm Lục.	DEFERRED / NOT IN DEFAULT ARCHITECTURE
V1-CAND-021	M3	TIEU_PHUNG	Đưa Tiêu vào Cái Bang qua La Tuấn như người ngoài tìm chỗ thuộc về, không nhập ký ức avatar Thiên Vương.	Tiêu đã rời quê và chỉ có lựa chọn hướng Cái Bang.	TP_CAI_BANG_ENTRY_APPROVED_VIA_LA_TUAN_DETAILS_OPEN; Tiêu hiện diện sau khi Tĩnh Xuyên đã rời.	T157/S310/E1379;T157/S323/E1443;T2/S9	EF-T0157;EF-T0002	R-17;R-27;PB-01;PB-02;BFCQ-03;CDQ-03;R-47;V1CAQ-01	Biết Cái Bang ở mức lời tiếp dẫn.	Chỉ biết điều La Tuấn và môi trường hiện tại cho thấy; không biết thư Thiên Vương hoặc người đưa thư.	La Tuấn giữ vai gatekeeper; Cái Bang tự quyết định mức tiếp nhận.	Lựa chọn môn phái biến thành hiện diện thực tế, chưa đồng nghĩa địa vị hay võ học.	V1-CAND-017;V1-CAND-018	V1-CAND-022;V1-CAND-023	LIGHT	DIRECT_TRIO	Đường, bến, ngày, thư, lễ nhập bang; nơi Tĩnh Xuyên đi tiếp; không gặp trio.	AUTHOR-APPROVED PLANNING / NOT CANON
V1-CAND-022	M4	TIEU_PHUNG	Cho Tiêu chứng kiến Cái Bang thi hành bang quy qua Lục đấu Thôi, tách công lý tổ chức khỏi chiến công protagonist.	Lục sống, chọn theo Thạch; Tiêu đã vào môi trường Cái Bang; lôi đài phục vụ xử lý bang quy.	Lục trực tiếp đấu Thôi để phán quyết được thi hành; Tiêu không nhận công, võ học hoặc vị thế.	T2/S10/E50;T2/S12/E59;T2/S12/E60;T2/S13/E64;T2/S13/E65;T2/S13/E67	EF-T0002	R-14;R-27;R-31;BFCQ-01;R-33;R-36;PB-03;CDQ-01;R-47;V1CAQ-01	Tiêu chỉ biết điều chứng kiến/nghe hợp lệ; không biết toàn bộ vụ cứu Lục.	Hiểu bang quy có giá và Lục có lựa chọn riêng; không sở hữu chiến công hoặc động cơ kín.	Lục tự đấu; Thạch chịu trách nhiệm phán quyết; Cái Bang tự giữ Lục sống; Tiêu là nhân chứng giới hạn.	Phán quyết tổ chức được thực thi; Lục gánh hậu quả lựa chọn bang phái.	CDK-02;V1-CAND-021	V1-CAND-023;V1-CAND-026	HEAVY	DIRECT_TRIO	Người/cách cứu Lục; chi tiết trận/thương tích; aftermath cá nhân; Tiêu xem toàn bộ hay một phần.	AUTHOR-APPROVED PLANNING / NOT CANON
